Movie,Director,Year,Rating,Summary,Worldwide Box Office ($),Rotten Tomatoes (%),Rotten Tomatoes (as decimal)
MaXXXine,Ti West,2024,R,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",21456370,72,0.72
Heretic,"Scott Beck, Bryan Woods",2024,R,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed (Hugh Grant), becoming ensnared in his deadly game of cat-and-mouse.",42201966,91,0.91
We Live In Time,John Crowley,2024,R,"Almut (Florence Pugh) and Tobias (Andrew Garfield) are brought together in a surprise encounter that changes their lives. As they embark on a path challenged by the limits of time, they learn to cherish each moment of the unconventional route their love story has taken, in filmmaker John Crowley's decade-spanning, deeply moving romance.",31461598,78,0.78
A Different Man,Aaron Schimberg,2024,R,"Aspiring actor Edward undergoes a radical medical procedure to drastically transform his appearance. But his new dream face quickly turns into a nightmare, as he loses out on the role he was born to play and becomes obsessed with reclaiming what was lost.",1142108,93,0.93
The Brutalist,Brady Corbet,2024,R,"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life, his work, and his marriage to his wife Erzsébet after being forced apart during wartime by shifting borders and regimes. On his own in a strange new country, László settles in Pennsylvania, where the wealthy and prominent industrialist Harrison Lee Van Buren recognizes his talent for building. But power and legacy come at a heavy cost...",128058,93,0.93
Y2K,Kyle Mooney,2024,R,"On the last night of 1999, two high school juniors crash a New Years Eve party, only to find themselves fighting for their lives in this dial-up disaster comedy.",3763863,44,0.44
Queer,Luca Guadagnino,2024,R,"In 1950s Mexico City, William Lee, an American ex-pat in his late forties, leads a solitary life amidst a small American community. However, the arrival in town of Eugene Allerton, a young student, stirs William into finally establishing a meaningful connection with someone.",2948043,76,0.76
Babygirl,Halina Reijn,2024,R,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,100,83,0.83
Occupied City,Steven McQueen,2023,PG-13,"The past collides with the precarious present as filmmaker Steve McQueen examines the Nazi occupation of Amsterdam, connecting the city's ordeal with its modern journey through protests and a global pandemic.",152934,72,0.72
On Becoming a Guinea Fowl,Rungano Nyoni,2024,PG-13,"A woman stumbles across the body of her uncle on an empty road in the middle of the night. As funeral proceedings begin, secrets of her middle-class Zambian family soon come to light.",60147,100,1.00
All Dirt Roads Taste of Salt,Raven Jackson,2024,PG,"A lyrical, decades-spanning exploration of a Black woman's life in Mississippi, winding through love and heartbreak.",52084,90,0.90
